[CRITICAL]2021-03-05 15:26:18,622: apply agv failed, count=0 cause a error: test0305.18找不到可用的小车
[CRITICAL]2021-03-05 15:27:08,052: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', 'test0305:2021-03-05 15:27:07', 'loc', '18')
pid=11160, ppid=11232, tid=1624

[CRITICAL]2021-03-05 15:27:16,192: apply agv failed, count=0 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=1112

[CRITICAL]2021-03-05 15:27:16,206: apply agv failed, count=1 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=1112

[CRITICAL]2021-03-05 15:27:16,219: apply agv failed, count=2 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=1112

[CRITICAL]2021-03-05 15:27:16,235: apply agv failed, count=3 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=1112

[CRITICAL]2021-03-05 15:27:16,249: apply agv failed, count=4 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=1112

[CRITICAL]2021-03-05 15:27:16,260: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', 'test0305:2021-03-05 15:27:16', 'loc', '18')
pid=11160, ppid=11232, tid=1112

[CRITICAL]2021-03-05 15:27:24,399: apply agv failed, count=0 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=10756

[CRITICAL]2021-03-05 15:27:24,413: apply agv failed, count=1 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=10756

[CRITICAL]2021-03-05 15:27:24,427: apply agv failed, count=2 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=10756

[CRITICAL]2021-03-05 15:27:24,443: apply agv failed, count=3 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=10756

[CRITICAL]2021-03-05 15:27:24,456: apply agv failed, count=4 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=10756

[CRITICAL]2021-03-05 15:27:24,468: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', 'test0305:2021-03-05 15:27:24', 'loc', '18')
pid=11160, ppid=11232, tid=10756

[CRITICAL]2021-03-05 15:27:32,615: apply agv failed, count=0 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8716

[CRITICAL]2021-03-05 15:27:32,631: apply agv failed, count=1 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8716

[CRITICAL]2021-03-05 15:27:32,649: apply agv failed, count=2 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8716

[CRITICAL]2021-03-05 15:27:32,664: apply agv failed, count=3 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8716

[CRITICAL]2021-03-05 15:27:32,679: apply agv failed, count=4 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=8716

[CRITICAL]2021-03-05 15:27:32,692: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', 'test0305:2021-03-05 15:27:32', 'loc', '18')
pid=11160, ppid=11232, tid=8716

[CRITICAL]2021-03-05 15:27:40,836: apply agv failed, count=0 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=3892

[CRITICAL]2021-03-05 15:27:40,848: apply agv failed, count=1 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=3892

[CRITICAL]2021-03-05 15:27:40,863: apply agv failed, count=2 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=3892

[CRITICAL]2021-03-05 15:27:40,877: apply agv failed, count=3 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=3892

[CRITICAL]2021-03-05 15:27:40,890: apply agv failed, count=4 cause a error: test0305.18找不到可用的小车
pid=11160, ppid=11232, tid=3892

