[CRITICAL]2021-03-29 16:24:16,710: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:24:16,889: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:24:17,022: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:24:17,099: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:24:28,200: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:24:28,439: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:24:28,679: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:24:28,858: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:24:28,977: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:24:29,052: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:24:40,288: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12436

[CRITICAL]2021-03-29 16:24:40,408: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12436

