[CRITICAL]2021-03-31 10:23:36,323: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
[CRITICAL]2021-03-31 10:24:41,794: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=4076

[CRITICAL]2021-03-31 10:24:41,923: apply agv failed, count=1 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=4076

[CRITICAL]2021-03-31 10:24:42,074: apply agv failed, count=2 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=4076

[CRITICAL]2021-03-31 10:24:42,122: apply agv failed, count=3 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=4076

[CRITICAL]2021-03-31 10:24:42,237: apply agv failed, count=4 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=4076

[CRITICAL]2021-03-31 10:24:42,276: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '6063dd25913482d6ce06191d', 'loc', 'AP142')
pid=4780, ppid=11064, tid=4076

[CRITICAL]2021-03-31 10:24:52,935: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=14248

[CRITICAL]2021-03-31 10:24:53,014: apply agv failed, count=1 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=14248

[CRITICAL]2021-03-31 10:24:53,088: apply agv failed, count=2 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=14248

[CRITICAL]2021-03-31 10:24:53,222: apply agv failed, count=3 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=14248

[CRITICAL]2021-03-31 10:24:53,316: apply agv failed, count=4 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=14248

[CRITICAL]2021-03-31 10:24:53,385: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '6063dd25913482d6ce06191d', 'loc', 'AP142')
pid=4780, ppid=11064, tid=14248

[CRITICAL]2021-03-31 10:25:03,888: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:03,963: apply agv failed, count=1 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:04,057: apply agv failed, count=2 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:04,142: apply agv failed, count=3 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:04,232: apply agv failed, count=4 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:04,292: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '6063dd25913482d6ce06191d', 'loc', 'AP142')
