[CRITICAL]2021-04-26 10:53:00,430: apply agv failed, count=0 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=5412, ppid=9352, tid=13096

[CRITICAL]2021-04-26 10:53:01,328: apply agv failed, count=1 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=5412, ppid=9352, tid=13096

[CRITICAL]2021-04-26 10:53:01,912: apply agv failed, count=2 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=5412, ppid=9352, tid=13096

[CRITICAL]2021-04-26 10:53:02,684: apply agv failed, count=3 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=5412, ppid=9352, tid=13096

[CRITICAL]2021-04-26 10:53:03,695: apply agv failed, count=4 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=5412, ppid=9352, tid=13096

[CRITICAL]2021-04-26 10:53:03,837: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60862b03d68752599f0b1954', 'loc', 'AP666')
pid=5412, ppid=9352, tid=13096

