[CRITICAL]2021-04-26 11:11:01,984: apply agv failed, count=0 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=4744, ppid=844, tid=9464

[CRITICAL]2021-04-26 11:11:02,370: apply agv failed, count=1 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=4744, ppid=844, tid=9464

[CRITICAL]2021-04-26 11:11:02,744: apply agv failed, count=2 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=4744, ppid=844, tid=9464

[CRITICAL]2021-04-26 11:11:03,120: apply agv failed, count=3 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=4744, ppid=844, tid=9464

[CRITICAL]2021-04-26 11:11:03,457: apply agv failed, count=4 cause a error: comba-ZXC-3F.AP666找不到可用的小车
pid=4744, ppid=844, tid=9464

[CRITICAL]2021-04-26 11:11:03,549: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60862f3ed0e37d6d24f99fce', 'loc', 'AP666')
pid=4744, ppid=844, tid=9464

