[CRITICAL]2021-05-21 09:40:54,911: apply agv failed, count=0 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=9752

[CRITICAL]2021-05-21 09:40:55,039: apply agv failed, count=1 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=9752

[CRITICAL]2021-05-21 09:40:55,199: apply agv failed, count=2 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=9752

[CRITICAL]2021-05-21 09:40:55,364: apply agv failed, count=3 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=9752

[CRITICAL]2021-05-21 09:40:55,554: apply agv failed, count=4 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=9752

[CRITICAL]2021-05-21 09:40:55,642: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60a70fa273dabd1fd88f5ca2', 'loc', 'comba-ZXC-F3.AP12')
pid=8152, ppid=8108, tid=9752

[CRITICAL]2021-05-21 09:41:07,687: apply agv failed, count=0 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=5992

[CRITICAL]2021-05-21 09:41:07,778: apply agv failed, count=1 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=5992

[CRITICAL]2021-05-21 09:41:07,884: apply agv failed, count=2 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=5992

[CRITICAL]2021-05-21 09:41:08,113: apply agv failed, count=3 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=5992

[CRITICAL]2021-05-21 09:41:08,233: apply agv failed, count=4 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=5992

[CRITICAL]2021-05-21 09:41:08,379: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60a70fa273dabd1fd88f5ca2', 'loc', 'comba-ZXC-F3.AP12')
pid=8152, ppid=8108, tid=5992

[CRITICAL]2021-05-21 09:41:20,173: apply agv failed, count=0 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=8704

[CRITICAL]2021-05-21 09:41:20,364: apply agv failed, count=1 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=8704

[CRITICAL]2021-05-21 09:41:20,452: apply agv failed, count=2 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=8704

[CRITICAL]2021-05-21 09:41:20,528: apply agv failed, count=3 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=8704

[CRITICAL]2021-05-21 09:41:20,708: apply agv failed, count=4 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=8704

[CRITICAL]2021-05-21 09:41:20,867: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60a70fa273dabd1fd88f5ca2', 'loc', 'comba-ZXC-F3.AP12')
pid=8152, ppid=8108, tid=8704

[CRITICAL]2021-05-21 09:41:32,894: apply agv failed, count=0 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=4340

[CRITICAL]2021-05-21 09:41:32,992: apply agv failed, count=1 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=4340

[CRITICAL]2021-05-21 09:41:33,133: apply agv failed, count=2 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=4340

[CRITICAL]2021-05-21 09:41:33,237: apply agv failed, count=3 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=4340

[CRITICAL]2021-05-21 09:41:33,337: apply agv failed, count=4 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=4340

[CRITICAL]2021-05-21 09:41:33,396: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60a70fa273dabd1fd88f5ca2', 'loc', 'comba-ZXC-F3.AP12')
pid=8152, ppid=8108, tid=4340

[CRITICAL]2021-05-21 09:41:45,521: apply agv failed, count=0 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=1148

[CRITICAL]2021-05-21 09:41:45,613: apply agv failed, count=1 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=1148

[CRITICAL]2021-05-21 09:41:45,735: apply agv failed, count=2 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=1148

[CRITICAL]2021-05-21 09:41:45,827: apply agv failed, count=3 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=1148

[CRITICAL]2021-05-21 09:41:45,907: apply agv failed, count=4 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=1148

[CRITICAL]2021-05-21 09:41:45,992: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60a70fa273dabd1fd88f5ca2', 'loc', 'comba-ZXC-F3.AP12')
pid=8152, ppid=8108, tid=1148

[CRITICAL]2021-05-21 09:41:57,866: apply agv failed, count=0 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=1640

[CRITICAL]2021-05-21 09:41:57,993: apply agv failed, count=1 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=1640

[CRITICAL]2021-05-21 09:41:58,088: apply agv failed, count=2 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=1640

[CRITICAL]2021-05-21 09:41:58,180: apply agv failed, count=3 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=1640

[CRITICAL]2021-05-21 09:41:58,308: apply agv failed, count=4 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=1640

[CRITICAL]2021-05-21 09:41:58,336: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60a70fa273dabd1fd88f5ca2', 'loc', 'comba-ZXC-F3.AP12')
pid=8152, ppid=8108, tid=1640

[CRITICAL]2021-05-21 09:42:10,336: apply agv failed, count=0 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=208

[CRITICAL]2021-05-21 09:42:10,434: apply agv failed, count=1 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=208

[CRITICAL]2021-05-21 09:42:10,580: apply agv failed, count=2 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=208

[CRITICAL]2021-05-21 09:42:10,696: apply agv failed, count=3 cause a error: comba-ZXC-F3.AP12找不到可用的小车
pid=8152, ppid=8108, tid=208

